,0,Membership_No,Address,Contact_Nos,E_mail,Web,Year_Of_Joining,Memb_No_Year_Stripped,Member_City,lattitude_longitude,lattitude,longitude,country_code
187,"Membership No : 029/1996  City Axis Ltd.  Details  PBL Tower (5th Floor), 17 (Uttar) C/A, Gulshan Circle-2, Dhaka-1212 Phone: 880-2-8319125,880-2-9891187,9891250,9891143, Fax: 880-2-8832508  E-mail: pbldhaka@yahoo.com.com Web: http://www.pblbd.com",029/1996,"029/1996  City Axis Ltd.  Details  PBL Tower (5th Floor), 17 (Uttar) C/A, Gulshan Circle-2, Dhaka-1212","880-2-8319125,880-2-9891187,9891250,9891143, Fax: 880-2-8832508 ",pbldhaka@yahoo.com.com ,http://www.pblbd.com,1996.0,29.0,Dhaka,"(23.7808791, 90.4167955)",23.7808791,90.4167955,bd
352,"Membership No : 030/1996  Hassan And Associates Limited  Details  ""HAL MARS"" (3rd Floor), 66 Outer Circuler Road, Dhaka-1217 Phone: 880-2-8319557 Fax: 880-2-8321365  E-mail: sales@hal-bd.com Web: http://www.hal-bd.com",030/1996,"030/1996  Hassan And Associates Limited  Details  ""HAL MARS"" (3rd Floor), 66 Outer Circuler Road, Dhaka-1217",880-2-8319557 Fax: 880-2-8321365 ,sales@hal-bd.com ,http://www.hal-bd.com,1996.0,30.0,Dhaka,"(23.7492811, 90.40592269999999)",23.7492811,90.40592269999999,bd
25,"Membership No : 044/1997  Advanced Development Technologies Ltd.  Details  Advanced Center, 176 Gulshan Avenue, Gulshan North, Gulshan-02,Dhaka-1212 Phone: 880-2-9884745-46,8811923,989455,9861434,8813046-78821692,8821749,8821988 Fax: 880-2-8810788  Web: http://www.advanced-bd.com",044/1997,"044/1997  Advanced Development Technologies Ltd.  Details  Advanced Center, 176 Gulshan Avenue, Gulshan North, Gulshan-02,Dhaka-1212",,,http://www.advanced-bd.com,1997.0,44.0,Dhaka,"(23.79854, 90.4129016)",23.79854,90.4129016,bd
331,"Membership No : 045/1997  Good Will Properties Ltd.  Details  BTI Celebration Point, 113/A,Gulshan Road, Plot # 3 & 5, Dhaka-1212. Phone: 88-02-58812684,8821477 Fax: 88-02-8812672  E-mail: info@btibd.org",045/1997,"045/1997  Good Will Properties Ltd.  Details  BTI Celebration Point, 113/A,Gulshan Road, Plot # 3 & 5, Dhaka-1212.","88-02-58812684,8821477 Fax: 88-02-8812672 ",,,1997.0,45.0,Dhaka,"(23.7891651, 90.4194035)",23.7891651,90.4194035,bd
774,"Membership No : 048/1997  SS Builders And Developers Ltd.  Details  House # 32, Road # 10, Baridhara, Dhaka  Phone: 880-2-9889570 E-mail: ssbdl@intechworld.net",048/1997,"048/1997  SS Builders And Developers Ltd.  Details  House # 32, Road # 10, Baridhara, Dhaka ",880-2-9889570,,,1997.0,48.0,Dhaka,"(None, None)",23.7998984,90.420766,bd
448,"Membership No : 067/1998  Living Plus Limited  Details  Living Rahman House # SW( C ) 12, Road # 07, Gulshan-01, Dhaka-1212 Phone: 880-2-9892200,9892594,8822151,8810879,0183335272001833352721 Fax: 880-2-8828964  E-mail: info@livingplusltd.com Web: http://www.Livingplusltd.com",067/1998,"067/1998  Living Plus Limited  Details  Living Rahman House # SW( C ) 12, Road # 07, Gulshan-01, Dhaka-1212","880-2-9892200,9892594,8822151,8810879,0183335272001833352721 Fax: 880-2-8828964 ",info@livingplusltd.com ,http://www.Livingplusltd.com,1998.0,67.0,Dhaka,"(None, None)",23.7809167,90.4168006,bd
182,"Membership No : 068/1998  Charuta Homes Ltd.  Details  House # 05, Road # 27, Block # J Banani, Dhaka-1213  Phone: 880-2-8834126,8834240 Fax: 880-2-8834622  E-mail: info@charutahomes.com Web: http://www.charutahomes.com",068/1998,"068/1998  Charuta Homes Ltd.  Details  House # 05, Road # 27, Block # J Banani, Dhaka-1213 ","880-2-8834126,8834240 Fax: 880-2-8834622 ",info@charutahomes.com ,http://www.charutahomes.com,1998.0,68.0,Dhaka,"(None, None)",23.7936784,90.40536639999999,bd
507,"Membership No : 069/1998  Momen Real Estates Limited  Details  House # 157, Road # 12, Block # E, Banani, Dhaka-1213.  Phone: 880-2-9881143 Fax: 880-2-9862459  E-mail: info@momen-realstatebd.com Web: http://www.momen-realstatebd.com",069/1998,"069/1998  Momen Real Estates Limited  Details  House # 157, Road # 12, Block # E, Banani, Dhaka-1213. ",880-2-9881143 Fax: 880-2-9862459 ,info@momen-realstatebd.com ,http://www.momen-realstatebd.com,1998.0,69.0,Dhaka,"(23.7930454, 90.4084718)",23.7930454,90.4084718,bd
59,"Membership No : 070/1998  Amin Mohammad Foundation Ltd.  Details  Corporate Office, 752 Satmasjid Road, Dhanmondi, Dhaka-1205  Phone: 880-2-9124538,88-02-9127119,88-02-9127121 Fax: 880-2-9127120  E-mail: nihad@amgbd.com Web: http://www.amgbd.com",070/1998,"070/1998  Amin Mohammad Foundation Ltd.  Details  Corporate Office, 752 Satmasjid Road, Dhanmondi, Dhaka-1205 ","880-2-9124538,88-02-9127119,88-02-9127121 Fax: 880-2-9127120 ",nihad@amgbd.com ,http://www.amgbd.com,1998.0,70.0,Dhaka,"(23.747029, 90.3704976)",23.747029,90.3704976,bd
756,"Membership No : 074/1999  Sky View Foundation Ltd.  Details  Sky View Trade Center, 27 Shilpachariya Joynul Abedin Road (Old 118/2) Shantinagar, Dhaka-1217 Phone: 880-2-9351466,88-02-9333177,88-02-9336193 Fax: 880-2-8316831  E-mail: info@skyviewbd.com Web: http://www.skyviewbd.com",074/1999,"074/1999  Sky View Foundation Ltd.  Details  Sky View Trade Center, 27 Shilpachariya Joynul Abedin Road (Old 118/2) Shantinagar, Dhaka-1217","880-2-9351466,88-02-9333177,88-02-9336193 Fax: 880-2-8316831 ",info@skyviewbd.com ,http://www.skyviewbd.com,1999.0,74.0,Dhaka,"(23.7410579, 90.4117218)",23.7410579,90.4117218,bd
125,"Membership No : 076/1999  Bangladesh Export Import Company Limited  Details  BEL Tower, Level # 9, Road # 1,19 Dhanmondi R/A, Dhaka-1205 Phone: 880-2-8611891 Fax: 880-2-8613470  E-mail: skimkt@bol-online.com Web: http://www.beximco.org",076/1999,"076/1999  Bangladesh Export Import Company Limited  Details  BEL Tower, Level # 9, Road # 1,19 Dhanmondi R/A, Dhaka-1205",880-2-8611891 Fax: 880-2-8613470 ,skimkt@bol-online.com ,http://www.beximco.org,1999.0,76.0,Dhaka,"(23.7461713, 90.3742675)",23.7461713,90.3742675,bd
640,"Membership No : 078/1999  Rangs Properties Ltd.  Details  215 Bir Uttam Mir Shawkat Sarak Tejgaon I/A, Dhaka-1208  Phone: 880-2-8127435-37,88-02-9131677-8,88-02-8832693,88-02-8833323, Fax: 880-2-8816404  E-mail: salesrpl@rangs.com,properties@rangs.com Web: http://www.rangsproperties.com",078/1999,"078/1999  Rangs Properties Ltd.  Details  215 Bir Uttam Mir Shawkat Sarak Tejgaon I/A, Dhaka-1208 ","880-2-8127435-37,88-02-9131677-8,88-02-8832693,88-02-8833323, Fax: 880-2-8816404 ","salesrpl@rangs.com,properties@rangs.com ",http://www.rangsproperties.com,1999.0,78.0,Dhaka,"(23.7709245, 90.4077035)",23.7709245,90.4077035,bd
823,"Membership No : 080/1999  Tropical Homes Ltd.  Details  Planners Tower (6th Floor), Bipanon C/A, Bir Uttam C.R Datta Road (Sonargaon Road), Banglamotor, Dhaka-1000 Phone: 88-02-58614280,58614260,58614273,58614288,58614062-4 Fax: 880-2-9634427  E-mail: tropicalhomes1996@gmail.com Web: http://www.tropicalhomesltd.com",080/1999,"080/1999  Tropical Homes Ltd.  Details  Planners Tower (6th Floor), Bipanon C/A, Bir Uttam C.R Datta Road (Sonargaon Road), Banglamotor, Dhaka-1000","88-02-58614280,58614260,58614273,58614288,58614062-4 Fax: 880-2-9634427 ",tropicalhomes1996@gmail.com ,http://www.tropicalhomesltd.com,1999.0,80.0,Dhaka,"(23.7467486, 90.39304670000001)",23.7467486,90.39304670000001,bd
679,"Membership No : 081/1999  Rupayan Real Estate Limited  Details  Rupayan Centre, (5th, 7th, 9th, & 14th Floor), 72, Mohakhali C/A, Dhaka-1212 Phone: 880-2-8822526 Fax: 880-2-8814449  E-mail: rupayan@onenetbd.com,chairman@rupayangroup.com Web: http://www.rupayan.com",081/1999,"081/1999  Rupayan Real Estate Limited  Details  Rupayan Centre, (5th, 7th, 9th, & 14th Floor), 72, Mohakhali C/A, Dhaka-1212",880-2-8822526 Fax: 880-2-8814449 ,"rupayan@onenetbd.com,chairman@rupayangroup.com ",http://www.rupayan.com,1999.0,81.0,Dhaka,"(38.2791164, -80.8508916)",23.8750438,90.3785465,bd
665,"Membership No : 082/1999  Ridge Park Holdings Ltd.  Details  Crystal Palace, House # SE (D) 22, Road # 140, Gulshan South Avenue, Gulshan-1, Dhaka-1212 Phone: 880-2-9881092,9883142 Fax: 88-02-8861173  E-mail: info@ridge-park.net Web: http://www.ridge-park.net",082/1999,"082/1999  Ridge Park Holdings Ltd.  Details  Crystal Palace, House # SE (D) 22, Road # 140, Gulshan South Avenue, Gulshan-1, Dhaka-1212","880-2-9881092,9883142 Fax: 88-02-8861173 ",info@ridge-park.net ,http://www.ridge-park.net,1999.0,82.0,Dhaka,"(51.4197233, -0.0830638)",23.7806461,90.41820229999999,bd
809,"Membership No : 083/1999  The Structural Engineers Ltd.  Details  SEL Centre, 29 Bir uttam Qazi Nuruzzaman Sharak, West Panthapath, Dhaka-1209  Phone: 880-2-9116572,8127257,8154294,81255408,0171-574983 Fax: 88-02-8129837  E-mail: info@sel.com.bd Web: http://www.sel.com.bd",083/1999,"083/1999  The Structural Engineers Ltd.  Details  SEL Centre, 29 Bir uttam Qazi Nuruzzaman Sharak, West Panthapath, Dhaka-1209 ","880-2-9116572,8127257,8154294,81255408,0171-574983 Fax: 88-02-8129837 ",info@sel.com.bd ,http://www.sel.com.bd,1999.0,83.0,Dhaka,"(23.752608, 90.383732)",23.752608,90.383732,bd
204,"Membership No : 085/1999  Concord Real Estate & Development Ltd.  Details  Concord Centre, 43, North Gulshan C/A, Dhaka-1212  Phone: 88-02-9849139,9849127,58815006,9885455, Fax: 880-2-8823552  E-mail: skuddin_concord@yahoo.com Web: http://www.concordgroup.net",085/1999,"085/1999  Concord Real Estate & Development Ltd.  Details  Concord Centre, 43, North Gulshan C/A, Dhaka-1212 ","88-02-9849139,9849127,58815006,9885455, Fax: 880-2-8823552 ",skuddin_concord@yahoo.com ,http://www.concordgroup.net,1999.0,85.0,Dhaka,"(None, None)",23.684994,90.356331,bd
378,"Membership No : 086/1999  Ideal Home Builders Limited  Details  17C Navana Tower, 45 Gulshan Avenue Gulshan-1, Dhaka-1212. Phone: 880-2-9361663 Fax: 880-2-9337420  E-mail: idealhome@dhaka.net",086/1999,"086/1999  Ideal Home Builders Limited  Details  17C Navana Tower, 45 Gulshan Avenue Gulshan-1, Dhaka-1212.",880-2-9361663 Fax: 880-2-9337420 ,,,1999.0,86.0,Dhaka,"(23.7805279, 90.4163104)",23.7805279,90.4163104,bd
726,"Membership No : 087/1999  Shaptak Grihayan Limited  Details  SHAPTAK GRIHAYAN LIMITED. Suite # C4-C5,Shaptak Mahbuba Grandeur, House No. 17/1, Road No -6, Dhanmondi,Dhaka-1205. Phone: 88-02-9613492,88-02-9613502,88-02-9614110,88-02-9614254,88-02-961426088-02-9614290,09611686134,09611686135 Fax: 880-2-9614092  E-mail: info@shaptak.com Web: http://www.shaptak.com",087/1999,"087/1999  Shaptak Grihayan Limited  Details  SHAPTAK GRIHAYAN LIMITED. Suite # C4-C5,Shaptak Mahbuba Grandeur, House No. 17/1, Road No -6, Dhanmondi,Dhaka-1205.","88-02-9613492,88-02-9613502,88-02-9614110,88-02-9614254,88-02-961426088-02-9614290,09611686134,09611686135 Fax: 880-2-9614092 ",info@shaptak.com ,http://www.shaptak.com,1999.0,87.0,Dhaka,"(23.7432084, 90.38206459999999)",23.7432084,90.38206459999999,bd
167,"Membership No : 088/1999  Building For Future Ltd.  Details  Gagan Shirish (2nd Floor), 76 & 76/1, East Raza Bazar Pantapath, Dhaka-1215 Phone: 88-02-9137048,9137450,9137015,58157503,812604958154104,58155815 Fax: 880-2-9137453  E-mail: sales@buildingforfutureltd.com Web: http://www.buildingforfutureltd.com",088/1999,"088/1999  Building For Future Ltd.  Details  Gagan Shirish (2nd Floor), 76 & 76/1, East Raza Bazar Pantapath, Dhaka-1215","88-02-9137048,9137450,9137015,58157503,812604958154104,58155815 Fax: 880-2-9137453 ",sales@buildingforfutureltd.com ,http://www.buildingforfutureltd.com,1999.0,88.0,Dhaka,"(23.7520031, 90.3857247)",23.7520031,90.3857247,bd
283,"Membership No : 090/1999  Ena Properties Limited  Details  ENA Tower, 57/3-4 Panthapath, Lake Circus, Kalabagan, Dhaka-1205 Phone: 88-02-9102660,9103035,9103037,9112148,912620858151280 Fax: 880-2-58128784  E-mail: info@enagroup.net Web: http://www.enagroup.net",090/1999,"090/1999  Ena Properties Limited  Details  ENA Tower, 57/3-4 Panthapath, Lake Circus, Kalabagan, Dhaka-1205","88-02-9102660,9103035,9103037,9112148,912620858151280 Fax: 880-2-58128784 ",info@enagroup.net ,http://www.enagroup.net,1999.0,90.0,Dhaka,"(23.7518353, 90.37980379999999)",23.7518353,90.37980379999999,bd
203,"Membership No : 091/1999  Concord Real Estate & Building Products Ltd.  Details  Concord Centre, 43, North Gulshan C/A Dhaka-1212  Phone: 88-02-9849139,9849127,58815006,9885455, Fax: 880-2-9843552  E-mail: kamal.shariar@concordgroup.net Web: http://www.concordgroup.net",091/1999,"091/1999  Concord Real Estate & Building Products Ltd.  Details  Concord Centre, 43, North Gulshan C/A Dhaka-1212 ","88-02-9849139,9849127,58815006,9885455, Fax: 880-2-9843552 ",kamal.shariar@concordgroup.net ,http://www.concordgroup.net,1999.0,91.0,Dhaka,"(None, None)",23.684994,90.356331,bd
202,"Membership No : 096/2000  Concord Lands Limited  Details  Concord Center, 43, North C/A, Gulshan-2, Dhaka-1212 Phone: 88-02-9849139,9849127,58815006,9885455, E-mail: kamal.shariar@concordgroup.net Web: http://www.concordgroup.net",096/2000,"096/2000  Concord Lands Limited  Details  Concord Center, 43, North C/A, Gulshan-2, Dhaka-1212","88-02-9849139,9849127,58815006,9885455,",kamal.shariar@concordgroup.net ,http://www.concordgroup.net,2000.0,96.0,Dhaka,"(23.7910432, 90.412334)",23.7910432,90.412334,bd
12,"Membership No : 098/2000  ABC Real Estates Limited  Details  ABC House (6th floor), 8 Banani Commercial Area Kemal Ataturk Avenue, Banani C/A, Dhaka-1213 Phone: 880-2-9882189,9889237,8857390 Fax: 880-2-9822349  E-mail: info@abcreal.com.bd Web: http://www.abcreal.com.bd",098/2000,"098/2000  ABC Real Estates Limited  Details  ABC House (6th floor), 8 Banani Commercial Area Kemal Ataturk Avenue, Banani C/A, Dhaka-1213","880-2-9882189,9889237,8857390 Fax: 880-2-9822349 ",info@abcreal.com.bd ,http://www.abcreal.com.bd,2000.0,98.0,Dhaka,"(23.7938652, 90.4033583)",23.7938652,90.4033583,bd
101,"Membership No : 099/2000  Asset Developments & Holdings Ltd.  Details  Corporate HQ Building, 91, Gulshan Avenue Gulshan, Dhaka-1212  Phone: 88-02-55068001-5 Fax: 880-2-9899349  E-mail: salimakhterkhan.91@gmail.com,sak@agni.com",099/2000,"099/2000  Asset Developments & Holdings Ltd.  Details  Corporate HQ Building, 91, Gulshan Avenue Gulshan, Dhaka-1212 ",88-02-55068001-5 Fax: 880-2-9899349 ,,,2000.0,99.0,Dhaka,"(23.7871251, 90.4165805)",23.7871251,90.4165805,bd
124,"Membership No : 100/2000  Bangladesh Development Company Limited  Details  Plot # 314/A, Road No # 18, Block # E, Bashundhara Avenue Road, Bashundhara R/A, Dhaka-1229. Phone: 88-02-8401883-5,88-02-8401092-3,01713144718,01713144734, Fax: 880-2-8401887  E-mail: bdc.mkt@bdg-magura.com Web: http://www.bdg-magura.com",100/2000,"100/2000  Bangladesh Development Company Limited  Details  Plot # 314/A, Road No # 18, Block # E, Bashundhara Avenue Road, Bashundhara R/A, Dhaka-1229.","88-02-8401883-5,88-02-8401092-3,01713144718,01713144734, Fax: 880-2-8401887 ",bdc.mkt@bdg-magura.com ,http://www.bdg-magura.com,2000.0,100.0,Dhaka,"(23.684994, 90.356331)",23.684994,90.356331,bd
158,"Membership No : 101/2000  Borak Real Estate Limited  Details  Borak Mehnur, 51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213 Phone: 88-02-9885116-23 Fax: 880-2-9843392  E-mail: info@borakbd.com Web: http://www.borakbd.com",101/2000,"101/2000  Borak Real Estate Limited  Details  Borak Mehnur, 51/B, Kemal Ataturk Avenue, Banani, Dhaka-1213",88-02-9885116-23 Fax: 880-2-9843392 ,info@borakbd.com ,http://www.borakbd.com,2000.0,101.0,Dhaka,"(23.7939407, 90.4064914)",23.7939407,90.4064914,bd
540,"Membership No : 102/2000  Neer Ltd.  Details  849/3, Begum Rokeya Sarani nd Floor, Shewrapara, Mirpur, Dhaka-1216 Phone: 880-2-9004662 Fax: 880-2-8018551  E-mail: neerbangla@yahoo.com Web: http://www.neer-bangla.com",102/2000,"102/2000  Neer Ltd.  Details  849/3, Begum Rokeya Sarani nd Floor, Shewrapara, Mirpur, Dhaka-1216",880-2-9004662 Fax: 880-2-8018551 ,neerbangla@yahoo.com ,http://www.neer-bangla.com,2000.0,102.0,Dhaka,"(23.812983, 90.367373)",23.812983,90.367373,bd
533,"Membership No : 105/2000  Navana Real Estate Ltd.  Details  Plot # 3/A, Road # 90, Gulshan-2, Dhaka Phone: 88-02-58815305 Fax: 880-2-58815195  E-mail: info@navana-realstate.com Web: http://www.navana-realstate.com",105/2000,"105/2000  Navana Real Estate Ltd.  Details  Plot # 3/A, Road # 90, Gulshan-2, Dhaka",88-02-58815305 Fax: 880-2-58815195 ,info@navana-realstate.com ,http://www.navana-realstate.com,2000.0,105.0,Dhaka,"(23.7960636, 90.4160307)",23.7960636,90.4160307,bd
518,"Membership No : 106/2000  Multiplan Limited  Details  Chandrashila Suvastu Tower, 69/1, Pantapath, Dhaka-1205 Phone: 88-02-9674220,9675798,9641326 Fax: 880-2-9641325  E-mail: info@multiplan.com.bd Web: http://www.multiplan.com.bd",106/2000,"106/2000  Multiplan Limited  Details  Chandrashila Suvastu Tower, 69/1, Pantapath, Dhaka-1205","88-02-9674220,9675798,9641326 Fax: 880-2-9641325 ",info@multiplan.com.bd ,http://www.multiplan.com.bd,2000.0,106.0,Dhaka,"(23.750583, 90.38769649999999)",23.750583,90.38769649999999,bd
437,"Membership No : 108/2000  Kusholi Nirmata Limited  Details  Kusholi Bhaban (8th Floor), 238/1, West Kafrul, Rokeya Sarani, Agargaon, Taltola Mirpur Dhaka-1216  Phone: 88-02-9104152,9104153 Fax: 9104154  E-mail: knl_bd@yahoo.com,kusholinirmataltd@gmail.com",108/2000,"108/2000  Kusholi Nirmata Limited  Details  Kusholi Bhaban (8th Floor), 238/1, West Kafrul, Rokeya Sarani, Agargaon, Taltola Mirpur Dhaka-1216 ","88-02-9104152,9104153 Fax: 9104154 ",,,2000.0,108.0,Dhaka,"(23.7841363, 90.3781334)",23.7841363,90.3781334,bd
